area;ponto;long;lat;coleta;data;month
vvt;P1;-47.56929;-14.18212;3;03/02/2025;fev25
vvt;P1;-47.56929;-14.18212;4;05/06/2025;jun25
vvt;P1;-47.56929;-14.18212;5;02/09/2025;set25
vvt;P1;-47.56929;-14.18212;6;10/12/2025;dez25
vvt;P2;-47.5698;-14.18192;1;11/09/2024;set24
vvt;P2;-47.5698;-14.18192;2;27/11/2024;nov24
vvt;P2;-47.5698;-14.18192;3;03/02/2025;fev25
vvt;P2;-47.5698;-14.18192;4;05/06/2025;jun25
vvt;P2;-47.5698;-14.18192;5;02/09/2025;set25
vvt;P2;-47.5698;-14.18192;6;10/12/2025;dez25
vvt;P3;-47.57012;-14.18179;1;11/09/2024;set24
vvt;P3;-47.57012;-14.18179;2;27/11/2024;nov24
vvt;P3;-47.57012;-14.18179;3;03/02/2025;fev25
vvt;P3;-47.57012;-14.18179;4;05/06/2025;jun25
vvt;P3;-47.57012;-14.18179;5;02/09/2025;set25
vvt;P3;-47.57012;-14.18179;6;10/12/2025;dez25
vvt;P4;-47.57049;-14.1817;1;11/09/2024;set24
vvt;P4;-47.57049;-14.1817;2;27/11/2024;nov24
vvt;P4;-47.57049;-14.1817;3;03/02/2025;fev25
vvt;P4;-47.57049;-14.1817;4;05/06/2025;jun25
vvt;P4;-47.57049;-14.1817;5;02/09/2025;set25
vvt;P4;-47.57049;-14.1817;6;10/12/2025;dez25
vvt;P5;-47.57077;-14.18157;1;11/09/2024;set24
vvt;P5;-47.57077;-14.18157;2;27/11/2024;nov24
vvt;P5;-47.57077;-14.18157;3;03/02/2025;fev25
vvt;P5;-47.57077;-14.18157;4;05/06/2025;jun25
vvt;P5;-47.57077;-14.18157;5;02/09/2025;set25
vvt;P5;-47.57077;-14.18157;6;10/12/2025;dez25
vvt;P6;-47.57112;-14.18148;1;11/09/2024;set24
vvt;P6;-47.57112;-14.18148;2;27/11/2024;nov24
vvt;P6;-47.57112;-14.18148;3;03/02/2025;fev25
vvt;P6;-47.57112;-14.18148;4;05/06/2025;jun25
vvt;P6;-47.57112;-14.18148;5;02/09/2025;set25
